[Header]
Manifest Version	1.2
ReferenceGenome	Homo_sapiens\UCSC\hg19\Sequence\WholeGenomeFASTA

[Regions]
Name	Chromosome	Start	End	Upstream Probe Length	Downstream Probe Length
CEX-chr1-1139773-1139872	chr1	1139773	1139872	0	0
CEX-chr1-1140698-1140874	chr1	1140698	1140874	0	0
CEX-chr1-1141743-1141953	chr1	1141743	1141953	0	0
CEX-chr1-1146923-1147262	chr1	1146923	1147262	0	0
CEX-chr1-1147309-1147579	chr1	1147309	1147579	0	0
CEX-chr1-1147942-1148155	chr1	1147942	1148155	0	0
CEX-chr1-1148359-1148878	chr1	1148359	1148878	0	0
CEX-chr1-1149041-1149167	chr1	1149041	1149167	0	0
CEX-chr1-1149361-1149509	chr1	1149361	1149509	0	0
CEX-chr1-1152890-1153186	chr1	1152890	1153186	0	0
CEX-chr1-1153836-1154015	chr1	1153836	1154015	0	0
CEX-chr1-1154076-1154445	chr1	1154076	1154445	0	0
CEX-chr1-1156045-1156144	chr1	1156045	1156144	0	0
CEX-chr1-1158550-1158739	chr1	1158550	1158739	0	0
CEX-chr1-1159210-1159350	chr1	1159210	1159350	0	0
CEX-chr1-1163846-1164175	chr1	1163846	1164175	0	0
CEX-chr1-1167646-1168650	chr1	1167646	1168650	0	0
CEX-chr1-1177926-1178028	chr1	1177926	1178028	0	0
CEX-chr1-1178205-1178304	chr1	1178205	1178304	0	0
CEX-chr1-1178438-1178537	chr1	1178438	1178537	0	0
CEX-chr1-1178822-1178934	chr1	1178822	1178934	0	0
CEX-chr1-1179311-1179487	chr1	1179311	1179487	0	0
CEX-chr1-1179564-1179663	chr1	1179564	1179663	0	0
CEX-chr1-1179759-1179879	chr1	1179759	1179879	0	0
CEX-chr1-1181881-1182072	chr1	1181881	1182072	0	0
CEX-chr1-1190581-1190869	chr1	1190581	1190869	0	0
CEX-chr1-1191416-1191515	chr1	1191416	1191515	0	0
CEX-chr1-1192370-1192512	chr1	1192370	1192512	0	0
CEX-chr1-1192586-1192692	chr1	1192586	1192692	0	0
CEX-chr1-1197643-1197770	chr1	1197643	1197770	0	0
CEX-chr1-1198697-1198796	chr1	1198697	1198796	0	0
CEX-chr1-1200137-1200236	chr1	1200137	1200236	0	0
CEX-chr1-1201441-1201540	chr1	1201441	1201540	0	0
CEX-chr1-1203240-1203374	chr1	1203240	1203374	0	0
CEX-chr1-1215994-1216093	chr1	1215994	1216093	0	0
CEX-chr1-1216592-1216691	chr1	1216592	1216691	0	0
CEX-chr1-1216790-1216995	chr1	1216790	1216995	0	0
CEX-chr1-1217611-1217710	chr1	1217611	1217710	0	0
CEX-chr1-1219297-1219515	chr1	1219297	1219515	0	0
CEX-chr1-1220948-1221047	chr1	1220948	1221047	0	0
CEX-chr1-1221304-1221660	chr1	1221304	1221660	0	0
CEX-chr1-1222146-1222357	chr1	1222146	1222357	0	0
CEX-chr1-1222487-1222681	chr1	1222487	1222681	0	0
CEX-chr1-1222886-1223218	chr1	1222886	1223218	0	0
CEX-chr1-1223259-1223419	chr1	1223259	1223419	0	0
CEX-chr1-1225649-1225770	chr1	1225649	1225770	0	0
CEX-chr1-1225847-1225946	chr1	1225847	1225946	0	0
CEX-chr1-1225996-1226095	chr1	1225996	1226095	0	0
CEX-chr1-1226255-1226354	chr1	1226255	1226354	0	0
CEX-chr1-1226433-1226532	chr1	1226433	1226532	0	0
CEX-chr1-1226632-1226992	chr1	1226632	1226992	0	0
CEX-chr1-1228911-1229090	chr1	1228911	1229090	0	0
CEX-chr1-1229149-1229315	chr1	1229149	1229315	0	0
CEX-chr1-1229468-1229581	chr1	1229468	1229581	0	0
CEX-chr1-1229750-1230010	chr1	1229750	1230010	0	0
CEX-chr1-1230097-1230196	chr1	1230097	1230196	0	0
CEX-chr1-1230825-1230936	chr1	1230825	1230936	0	0
CEX-chr1-1231114-1231320	chr1	1231114	1231320	0	0
CEX-chr1-1231393-1231492	chr1	1231393	1231492	0	0
CEX-chr1-1231576-1231675	chr1	1231576	1231675	0	0
CEX-chr1-1231803-1232015	chr1	1231803	1232015	0	0
CEX-chr1-1233200-1233315	chr1	1233200	1233315	0	0
CEX-chr1-1233391-1233495	chr1	1233391	1233495	0	0
CEX-chr1-1233666-1233825	chr1	1233666	1233825	0	0
CEX-chr1-1233894-1234104	chr1	1233894	1234104	0	0
CEX-chr1-1234621-1234780	chr1	1234621	1234780	0	0
CEX-chr1-1235055-1235287	chr1	1235055	1235287	0	0
CEX-chr1-1235351-1235450	chr1	1235351	1235450	0	0
CEX-chr1-1235511-1235610	chr1	1235511	1235610	0	0
CEX-chr1-1235876-1236086	chr1	1235876	1236086	0	0
CEX-chr1-1237296-1237447	chr1	1237296	1237447	0	0
CEX-chr1-1238219-1238378	chr1	1238219	1238378	0	0
CEX-chr1-1238540-1238661	chr1	1238540	1238661	0	0
CEX-chr1-1239445-1239544	chr1	1239445	1239544	0	0
CEX-chr1-1242445-1242544	chr1	1242445	1242544	0	0
CEX-chr1-1242691-1242790	chr1	1242691	1242790	0	0
CEX-chr1-1243062-1243221	chr1	1243062	1243221	0	0
CEX-chr1-1243953-1244112	chr1	1243953	1244112	0	0
CEX-chr1-1244214-1244373	chr1	1244214	1244373	0	0
CEX-chr1-1244453-1244655	chr1	1244453	1244655	0	0
CEX-chr1-1244832-1244985	chr1	1244832	1244985	0	0
CEX-chr1-1245059-1245233	chr1	1245059	1245233	0	0
CEX-chr1-1245967-1246453	chr1	1245967	1246453	0	0
CEX-chr1-1246708-1247040	chr1	1246708	1247040	0	0
CEX-chr1-1247167-1247321	chr1	1247167	1247321	0	0
CEX-chr1-1247356-1247529	chr1	1247356	1247529	0	0
CEX-chr1-1247604-1247750	chr1	1247604	1247750	0	0
CEX-chr1-1247801-1247900	chr1	1247801	1247900	0	0
CEX-chr1-1247971-1248082	chr1	1247971	1248082	0	0
CEX-chr1-1248165-1248331	chr1	1248165	1248331	0	0
CEX-chr1-1248410-1248509	chr1	1248410	1248509	0	0
CEX-chr1-1248881-1248980	chr1	1248881	1248980	0	0
CEX-chr1-1249110-1249303	chr1	1249110	1249303	0	0
CEX-chr1-1249604-1249763	chr1	1249604	1249763	0	0
CEX-chr1-1250202-1250344	chr1	1250202	1250344	0	0
CEX-chr1-1250752-1250851	chr1	1250752	1250851	0	0
CEX-chr1-1250898-1251000	chr1	1250898	1251000	0	0
CEX-chr1-1254235-1254906	chr1	1254235	1254906	0	0
CEX-chr1-1255823-1255922	chr1	1255823	1255922	0	0
CEX-chr1-1255992-1256091	chr1	1255992	1256091	0	0
CEX-chr1-1256178-1256476	chr1	1256178	1256476	0	0
CEX-chr1-1257276-1257375	chr1	1257276	1257375	0	0
CEX-chr1-1258510-1258667	chr1	1258510	1258667	0	0
CEX-chr1-1259889-1260041	chr1	1259889	1260041	0	0
CEX-chr1-1262289-1262414	chr1	1262289	1262414	0	0
CEX-chr1-1262609-1263148	chr1	1262609	1263148	0	0
CEX-chr1-1266713-1266933	chr1	1266713	1266933	0	0
CEX-chr1-1267016-1267320	chr1	1267016	1267320	0	0
CEX-chr1-1267393-1268188	chr1	1267393	1268188	0	0
CEX-chr1-1268299-1268506	chr1	1268299	1268506	0	0
CEX-chr1-1268596-1268761	chr1	1268596	1268761	0	0
CEX-chr1-1268884-1269846	chr1	1268884	1269846	0	0
CEX-chr1-1271509-1271897	chr1	1271509	1271897	0	0
CEX-chr1-1273112-1273565	chr1	1273112	1273565	0	0
CEX-chr1-1273647-1273818	chr1	1273647	1273818	0	0
CEX-chr1-1273900-1274035	chr1	1273900	1274035	0	0
CEX-chr1-1274655-1275064	chr1	1274655	1275064	0	0
CEX-chr1-1275105-1275204	chr1	1275105	1275204	0	0
CEX-chr1-1275416-1275559	chr1	1275416	1275559	0	0
CEX-chr1-1275612-1275711	chr1	1275612	1275711	0	0
CEX-chr1-1275787-1275886	chr1	1275787	1275886	0	0
CEX-chr1-1277045-1277187	chr1	1277045	1277187	0	0
CEX-chr1-1277431-1277538	chr1	1277431	1277538	0	0
CEX-chr1-1277741-1277866	chr1	1277741	1277866	0	0
CEX-chr1-1278054-1278153	chr1	1278054	1278153	0	0
CEX-chr1-1284254-1284473	chr1	1284254	1284473	0	0
CEX-chr1-1288590-1288746	chr1	1288590	1288746	0	0
CEX-chr1-1288947-1289046	chr1	1288947	1289046	0	0
CEX-chr1-1289226-1289326	chr1	1289226	1289326	0	0
CEX-chr1-1289399-1289498	chr1	1289399	1289498	0	0
CEX-chr1-1289543-1289642	chr1	1289543	1289642	0	0
CEX-chr1-1289702-1289891	chr1	1289702	1289891	0	0
CEX-chr1-1290060-1290534	chr1	1290060	1290534	0	0
CEX-chr1-1290565-1290781	chr1	1290565	1290781	0	0
CEX-chr1-1290817-1291134	chr1	1290817	1291134	0	0
CEX-chr1-1291963-1292122	chr1	1291963	1292122	0	0
CEX-chr1-1293811-1293910	chr1	1293811	1293910	0	0
CEX-chr1-1296583-1296682	chr1	1296583	1296682	0	0
CEX-chr1-1309179-1309338	chr1	1309179	1309338	0	0
CEX-chr1-1309378-1309827	chr1	1309378	1309827	0	0
CEX-chr1-1310001-1310160	chr1	1310001	1310160	0	0
CEX-chr1-1322609-1322964	chr1	1322609	1322964	0	0
CEX-chr1-1323154-1323253	chr1	1323154	1323253	0	0
CEX-chr1-1323332-1323447	chr1	1323332	1323447	0	0
CEX-chr1-1323831-1323930	chr1	1323831	1323930	0	0
CEX-chr1-1324005-1324123	chr1	1324005	1324123	0	0
CEX-chr1-1324153-1324252	chr1	1324153	1324252	0	0
CEX-chr1-1325608-1325753	chr1	1325608	1325753	0	0
CEX-chr1-1325837-1325945	chr1	1325837	1325945	0	0
CEX-chr1-1326144-1326247	chr1	1326144	1326247	0	0
CEX-chr1-1326889-1326988	chr1	1326889	1326988	0	0
CEX-chr1-1328123-1328222	chr1	1328123	1328222	0	0
CEX-chr1-1328759-1328858	chr1	1328759	1328858	0	0
CEX-chr1-1330772-1330896	chr1	1330772	1330896	0	0
CEX-chr1-1333611-1333724	chr1	1333611	1333724	0	0
CEX-chr1-1333965-1334064	chr1	1333965	1334064	0	0
CEX-chr1-1334368-1334688	chr1	1334368	1334688	0	0
CEX-chr1-1334892-1335069	chr1	1334892	1335069	0	0
CEX-chr1-1335538-1335683	chr1	1335538	1335683	0	0
CEX-chr1-1335985-1336114	chr1	1335985	1336114	0	0
CEX-chr1-1337461-1337638	chr1	1337461	1337638	0	0
CEX-chr1-1340997-1341268	chr1	1340997	1341268	0	0
CEX-chr1-1342287-1342401	chr1	1342287	1342401	0	0
CEX-chr1-1342505-1342604	chr1	1342505	1342604	0	0
CEX-chr1-1354479-1354929	chr1	1354479	1354929	0	0
CEX-chr1-1355420-1355979	chr1	1355420	1355979	0	0
CEX-chr1-1356176-1356385	chr1	1356176	1356385	0	0
CEX-chr1-1361482-1361765	chr1	1361482	1361765	0	0
CEX-chr1-1362862-1363231	chr1	1362862	1363231	0	0
CEX-chr1-1371056-1371215	chr1	1371056	1371215	0	0
CEX-chr1-1372305-1372866	chr1	1372305	1372866	0	0
CEX-chr1-1374459-1375172	chr1	1374459	1375172	0	0
CEX-chr1-1386051-1386150	chr1	1386051	1386150	0	0
CEX-chr1-1387414-1387513	chr1	1387414	1387513	0	0
CEX-chr1-1387730-1387829	chr1	1387730	1387829	0	0
CEX-chr1-1389724-1389880	chr1	1389724	1389880	0	0
CEX-chr1-1390820-1390919	chr1	1390820	1390919	0	0
CEX-chr1-1391170-1391296	chr1	1391170	1391296	0	0
CEX-chr1-1391563-1391729	chr1	1391563	1391729	0	0
CEX-chr1-1392485-1392584	chr1	1392485	1392584	0	0
CEX-chr1-1394526-1394625	chr1	1394526	1394625	0	0
CEX-chr1-1396129-1396297	chr1	1396129	1396297	0	0
CEX-chr1-1397979-1398088	chr1	1397979	1398088	0	0
CEX-chr1-1403763-1404102	chr1	1403763	1404102	0	0
CEX-chr1-1407192-1407531	chr1	1407192	1407531	0	0
CEX-chr1-1412643-1412742	chr1	1412643	1412742	0	0
CEX-chr1-1413880-1414127	chr1	1413880	1414127	0	0
CEX-chr1-1414409-1414508	chr1	1414409	1414508	0	0
CEX-chr1-1416232-1416331	chr1	1416232	1416331	0	0
CEX-chr1-1417516-1417685	chr1	1417516	1417685	0	0
CEX-chr1-1417923-1418099	chr1	1417923	1418099	0	0
CEX-chr1-1418347-1418506	chr1	1418347	1418506	0	0
CEX-chr1-1420394-1420553	chr1	1420394	1420553	0	0
CEX-chr1-1421142-1421241	chr1	1421142	1421241	0	0
CEX-chr1-1421488-1421617	chr1	1421488	1421617	0	0
CEX-chr1-1421922-1422050	chr1	1421922	1422050	0	0
CEX-chr1-1423219-1423318	chr1	1423219	1423318	0	0
CEX-chr1-1424567-1424666	chr1	1424567	1424666	0	0
CEX-chr1-1425633-1425806	chr1	1425633	1425806	0	0
CEX-chr1-1425849-1426053	chr1	1425849	1426053	0	0
CEX-chr1-1430863-1431199	chr1	1430863	1431199	0	0
CEX-chr1-1444585-1444689	chr1	1444585	1444689	0	0
CEX-chr1-1447576-1448070	chr1	1447576	1448070	0	0
CEX-chr1-1451381-1451480	chr1	1451381	1451480	0	0
CEX-chr1-1452545-1452794	chr1	1452545	1452794	0	0
CEX-chr1-1452995-1453161	chr1	1452995	1453161	0	0
CEX-chr1-1454286-1454385	chr1	1454286	1454385	0	0
CEX-chr1-1455519-1455688	chr1	1455519	1455688	0	0
CEX-chr1-1455913-1456012	chr1	1455913	1456012	0	0
CEX-chr1-1458122-1458281	chr1	1458122	1458281	0	0
CEX-chr1-1458870-1458969	chr1	1458870	1458969	0	0
CEX-chr1-1459217-1459386	chr1	1459217	1459386	0	0
CEX-chr1-1459651-1459779	chr1	1459651	1459779	0	0
CEX-chr1-1460596-1460695	chr1	1460596	1460695	0	0
CEX-chr1-1461827-1461926	chr1	1461827	1461926	0	0
CEX-chr1-1462469-1462629	chr1	1462469	1462629	0	0
CEX-chr1-1463073-1463244	chr1	1463073	1463244	0	0
CEX-chr1-1464601-1464713	chr1	1464601	1464713	0	0
CEX-chr1-1469304-1469454	chr1	1469304	1469454	0	0
CEX-chr1-1470738-1470887	chr1	1470738	1470887	0	0
CEX-chr1-1470968-1471177	chr1	1470968	1471177	0	0
CEX-chr1-1475007-1475170	chr1	1475007	1475170	0	0
CEX-chr1-1475588-1475747	chr1	1475588	1475747	0	0
CEX-chr1-1477444-1477549	chr1	1477444	1477549	0	0
CEX-chr1-1479195-1479369	chr1	1479195	1479369	0	0
CEX-chr1-1480117-1480384	chr1	1480117	1480384	0	0
CEX-chr1-1499914-1500298	chr1	1499914	1500298	0	0
CEX-chr1-1509788-1509947	chr1	1509788	1509947	0	0
CEX-chr1-1510356-1510659	chr1	1510356	1510659	0	0
CEX-chr1-1534714-1535395	chr1	1534714	1535395	0	0
CEX-chr1-1550819-1551038	chr1	1550819	1551038	0	0
CEX-chr1-1551886-1552045	chr1	1551886	1552045	0	0
CEX-chr1-1558756-1559081	chr1	1558756	1559081	0	0
CEX-chr1-1559152-1559327	chr1	1559152	1559327	0	0
CEX-chr1-1560119-1560283	chr1	1560119	1560283	0	0
CEX-chr1-1560369-1560567	chr1	1560369	1560567	0	0
CEX-chr1-1560664-1560810	chr1	1560664	1560810	0	0
CEX-chr1-1560924-1561035	chr1	1560924	1561035	0	0
CEX-chr1-1561973-1562136	chr1	1561973	1562136	0	0
CEX-chr1-1562215-1562432	chr1	1562215	1562432	0	0
CEX-chr1-1562452-1562589	chr1	1562452	1562589	0	0
CEX-chr1-1562644-1562826	chr1	1562644	1562826	0	0
CEX-chr1-1563030-1563240	chr1	1563030	1563240	0	0
CEX-chr1-1563397-1563561	chr1	1563397	1563561	0	0
CEX-chr1-1563651-1563781	chr1	1563651	1563781	0	0
CEX-chr1-1563867-1564104	chr1	1563867	1564104	0	0
CEX-chr1-1564485-1564693	chr1	1564485	1564693	0	0
CEX-chr1-1564743-1565101	chr1	1564743	1565101	0	0
CEX-chr1-1565670-1565912	chr1	1565670	1565912	0	0
CEX-chr1-1567575-1567755	chr1	1567575	1567755	0	0
CEX-chr1-1568018-1568859	chr1	1568018	1568859	0	0
CEX-chr1-1569114-1569480	chr1	1569114	1569480	0	0
CEX-chr1-1569579-1569747	chr1	1569579	1569747	0	0
CEX-chr1-1569814-1570003	chr1	1569814	1570003	0	0
CEX-chr1-1571122-1571273	chr1	1571122	1571273	0	0
CEX-chr1-1571287-1571488	chr1	1571287	1571488	0	0
CEX-chr1-1571694-1571843	chr1	1571694	1571843	0	0
CEX-chr1-1572043-1572160	chr1	1572043	1572160	0	0
CEX-chr1-1572258-1572366	chr1	1572258	1572366	0	0
CEX-chr1-1572442-1572564	chr1	1572442	1572564	0	0
CEX-chr1-1572769-1572875	chr1	1572769	1572875	0	0
CEX-chr1-1573123-1573245	chr1	1573123	1573245	0	0
CEX-chr1-1573800-1573956	chr1	1573800	1573956	0	0
CEX-chr1-1575626-1575813	chr1	1575626	1575813	0	0
CEX-chr1-1576392-1576491	chr1	1576392	1576491	0	0
CEX-chr1-1577001-1577181	chr1	1577001	1577181	0	0
CEX-chr1-1577205-1577364	chr1	1577205	1577364	0	0
CEX-chr1-1577637-1577869	chr1	1577637	1577869	0	0
CEX-chr1-1580456-1580623	chr1	1580456	1580623	0	0
CEX-chr1-1580643-1580742	chr1	1580643	1580742	0	0
CEX-chr1-1581420-1581519	chr1	1581420	1581519	0	0
CEX-chr1-1581770-1581869	chr1	1581770	1581869	0	0
CEX-chr1-1582086-1582185	chr1	1582086	1582185	0	0
CEX-chr1-1582265-1582364	chr1	1582265	1582364	0	0
CEX-chr1-1585557-1585656	chr1	1585557	1585656	0	0
CEX-chr1-1586813-1586938	chr1	1586813	1586938	0	0
CEX-chr1-1588825-1588935	chr1	1588825	1588935	0	0
CEX-chr1-1591519-1591618	chr1	1591519	1591618	0	0
CEX-chr1-1597186-1597458	chr1	1597186	1597458	0	0
CEX-chr1-1599765-1599911	chr1	1599765	1599911	0	0
CEX-chr1-1601102-1601283	chr1	1601102	1601283	0	0
CEX-chr1-1601512-1601611	chr1	1601512	1601611	0	0
CEX-chr1-1602944-1603068	chr1	1602944	1603068	0	0
CEX-chr1-1606901-1607079	chr1	1606901	1607079	0	0
CEX-chr1-1607451-1607638	chr1	1607451	1607638	0	0
CEX-chr1-1607805-1608144	chr1	1607805	1608144	0	0
CEX-chr1-1632408-1632706	chr1	1632408	1632706	0	0
CEX-chr1-1632800-1632968	chr1	1632800	1632968	0	0
CEX-chr1-1633047-1633245	chr1	1633047	1633245	0	0
CEX-chr1-1634342-1634493	chr1	1634342	1634493	0	0
CEX-chr1-1634507-1634708	chr1	1634507	1634708	0	0
CEX-chr1-1634914-1635063	chr1	1634914	1635063	0	0
CEX-chr1-1635262-1635379	chr1	1635262	1635379	0	0
CEX-chr1-1635477-1635585	chr1	1635477	1635585	0	0
CEX-chr1-1635661-1635783	chr1	1635661	1635783	0	0
CEX-chr1-1635921-1636094	chr1	1635921	1636094	0	0
CEX-chr1-1636241-1636464	chr1	1636241	1636464	0	0
CEX-chr1-1637019-1637229	chr1	1637019	1637229	0	0
CEX-chr1-1638847-1639055	chr1	1638847	1639055	0	0
CEX-chr1-1639602-1639701	chr1	1639602	1639701	0	0
CEX-chr1-1640211-1640391	chr1	1640211	1640391	0	0
CEX-chr1-1640415-1640625	chr1	1640415	1640625	0	0
